"Filename","Lead","Year","Type","Sample","DNLeaf","SampleDate","RunDate_text","RunDate","GCOrder"
"A92_day_190725_862019_12.qgd","A92",2019,"A",,"day",190725,862019,2019-08-06,12
"A92_night_190724_872019_09.qgd","A92",2019,"A",,"night",190724,872019,2019-08-07,9
"A95_day_190725_862019_12.qgd","A95",2019,"A",,"day",190725,862019,2019-08-06,12
"A95_leaf_190725_882019_04.qgd","A95",2019,"A",,"leaf",190725,882019,2019-08-08,4
"Air_SC1_day_190802_882019_02.qgd","Air",2019,"Air","SC1","day",190802,882019,2019-08-08,2
"Air1_190731_872019_06.qgd","Air1",2019,"Air",,,190731,872019,2019-08-07,6
"Air1_day_190804_8102019_07.qgd","Air1",2019,"Air",,"day",190804,8102019,2019-08-10,7
"Air1_night_190802_892019_10.qgd","Air1",2019,"Air",,"night",190802,892019,2019-08-09,10
"Air2_day_190805_8102019_12.qgd","Air2",2019,"Air",,"day",190805,8102019,2019-08-10,12
"Air2_night_190802_892019_11.qgd","Air2",2019,"Air",,"night",190802,892019,2019-08-09,11
"Air3_night_190802_8102019_05.qgd","Air3",2019,"Air",,"night",190802,8102019,2019-08-10,5
"AirC1_night_190724_862019_14.qgd","AirC1",2019,"Air",,"night",190724,862019,2019-08-06,14
"AirC10_1907231_882019_18.qgd","AirC10",2019,"Air",,,1907231,882019,2019-08-08,18
"AirC2_night_190724_872019_17.qgd","AirC2",2019,"Air",,"night",190724,872019,2019-08-07,17
"AirC3_day_190725_862019_02.qgd","AirC3",2019,"Air",,"day",190725,862019,2019-08-06,2
"AirC4_day_190725_862019_06.qgd","AirC4",2019,"Air",,"day",190725,862019,2019-08-06,6
"AirC5_day_190729_872019_20.qgd","AirC5",2019,"Air",,"day",190729,872019,2019-08-07,20
"AirCN3_night_190729_872019_05.qgd","AirCN3",2019,"Air",,"night",190729,872019,2019-08-07,5
"AirSC2_day_190802_892019_15.qgd","AirSC2",2019,"Air",,"day",190802,892019,2019-08-09,15
"AirW1_night_190724_862019_13.qgd","AirW1",2019,"Air",,"night",190724,862019,2019-08-06,13
"AirW10_1907231_882019_14.qgd","AirW10",2019,"Air",,,1907231,882019,2019-08-08,14
"AirW2_night_190724_872019_14.qgd","AirW2",2019,"Air",,"night",190724,872019,2019-08-07,14
"AirW3_day_190725_862019_03.qgd","AirW3",2019,"Air",,"day",190725,862019,2019-08-06,3
"AirW4_day_190725_862019_08.qgd","AirW4",2019,"Air",,"day",190725,862019,2019-08-06,8
"AirW8_190729_882019_10.qgd","AirW8",2019,"Air",,,190729,882019,2019-08-08,10
"Blank1_8102019_01.qgd","Blank1",2019,"Blank",,,,8102019,2019-08-10,1
"Blank1_862019_01.qgd","Blank1",2019,"Blank",,,,862019,2019-08-06,1
"Blank1_872019_01.qgd","Blank1",2019,"Blank",,,,872019,2019-08-07,1
"Blank1_872019_02.qgd","Blank1",2019,"Blank",,,,872019,2019-08-07,2
"Blank1_882019_01.qgd","Blank1",2019,"Blank",,,,882019,2019-08-08,1
"Blank1_882019_02.qgd","Blank1",2019,"Blank",,,,882019,2019-08-08,2
"Blank1_892019_01.qgd","Blank1",2019,"Blank",,,,892019,2019-08-09,1
"Blank1_892019_02.qgd","Blank1",2019,"Blank",,,,892019,2019-08-09,2
"Blank2_8132019_08.qgd","Blank2",2019,"Blank",,,,8132019,2019-08-13,8
"Blank2_862019_01.qgd","Blank2",2019,"Blank",,,,862019,2019-08-06,1
"GNA1_190731_872019_07.qgd","GNA1",2019,"GNA",,,190731,872019,2019-08-07,7
"GNA10_day_190805_8102019_05.qgd","GNA10",2019,"GNA",,"day",190805,8102019,2019-08-10,5
"GNA1redo_leaf_190805_8112019_25.qgd","GNA1redo",2019,"GNA",,"leaf",190805,8112019,2019-08-11,25
"GNA2_190731_872019_10.qgd","GNA2",2019,"GNA",,,190731,872019,2019-08-07,10
"GNA2_leaf_190805_8102019_19.qgd","GNA2",2019,"GNA",,"leaf",190805,8102019,2019-08-10,19
"GNA3_190731_872019_13.qgd","GNA3",2019,"GNA",,,190731,872019,2019-08-07,13
"GNA3_leaf_190805_8102019_21.qgd","GNA3",2019,"GNA",,"leaf",190805,8102019,2019-08-10,21
"GNA4_190731_872019_15.qgd","GNA4",2019,"GNA",,,190731,872019,2019-08-07,15
"GNA4_leaf_190805_8102019_13.qgd","GNA4",2019,"GNA",,"leaf",190805,8102019,2019-08-10,13
"GNA5_190731_872019_18.qgd","GNA5",2019,"GNA",,,190731,872019,2019-08-07,18
